trade_id,entry_time,exit_time,decision,entry_price,exit_price,position_size,leverage,stop_loss,take_profit,pnl,pnl_pct,holding_period,reason,setup_quality,confluence_score,liquidity_sweep
SOLUSDT_1757998800,2025-09-16 05:00:00,2025-09-17 21:00:00,SELL,236.3359837276604,240.2579394299614,29.125636014729082,2,241.59010212735419,230.02,-66.1025181035924,-0.4801564193190837,1 days 16:00:00,TIME_EXPIRED_STALE,OB,0.5757575757575758,False
SOLUSDT_1758081600,2025-09-17 04:00:00,2025-09-17 22:00:00,BUY,233.7716735834868,240.76105252932157,26.934766938469348,2,228.10290619244068,240.87,204.5342867206754,1.6241682517122817,0 days 18:00:00,TAKE_PROFIT,OB,0.7435897435897436,False
SOLUSDT_1758250800,2025-09-19 03:00:00,2025-09-19 10:00:00,BUY,245.03654774672984,242.10500896556442,26.823186363593468,2,239.2640949763093,253.49,-75.96483005933109,-0.5778848948695116,0 days 07:00:00,TREND_REVERSAL,OB,0.6666666666666666,False
SOLUSDT_1758254400,2025-09-19 04:00:00,2025-09-19 10:00:00,BUY,245.01667005053486,242.10500896556442,26.678576906315957,2,239.21523104943006,253.49,-76.33279547836628,-0.5838790315425714,0 days 06:00:00,TREND_REVERSAL,OB,0.6666666666666666,False
SOLUSDT_1758272400,2025-09-19 09:00:00,2025-09-19 14:00:00,BUY,242.8553783447768,239.27154065797734,45.00955378149463,2,239.3756207087003,253.49,-161.22628164059333,-0.7374853693523515,0 days 05:00:00,STOP_LOSS,OB,0.6190476190476191,False
SOLUSDT_1758445200,2025-09-21 09:00:00,2025-09-21 22:00:00,BUY,238.480711858424,235.73013906986222,57.68530551454364,2,235.830053090998,241.73,-136.57736547574612,-0.4963982924957857,0 days 13:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1758448800,2025-09-21 10:00:00,2025-09-21 22:00:00,BUY,238.36063815425086,235.73977427916495,60.73247690626166,2,235.8396921559267,241.73,-138.82524425783603,-0.4794937132726536,0 days 12:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1758452400,2025-09-21 11:00:00,2025-09-21 22:00:00,BUY,238.61061428609008,235.78620625923182,55.979690440651964,2,235.88614271621768,241.73,-142.00161428980053,-0.5315486683798801,0 days 11:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1758628800,2025-09-23 12:00:00,2025-09-24 03:00:00,SELL,219.64208332692755,212.37707998619095,26.524734333803945,2,225.03775240216908,212.28,204.45053050655,1.7546546391084634,0 days 15:00:00,TAKE_PROFIT,OB,0.5555555555555556,False
SOLUSDT_1758643200,2025-09-23 16:00:00,2025-09-24 03:00:00,SELL,220.19139356779408,212.37707998619095,28.52970934929879,2,225.21391207721655,212.28,230.5899610466865,1.835323869773957,0 days 11:00:00,TAKE_PROFIT,OB,0.5555555555555556,False
SOLUSDT_1758902400,2025-09-26 16:00:00,2025-09-28 09:00:00,SELL,199.35716001426923,200.68618470855247,23.410019608219432,2,205.7274946490324,190.72,2.474025779750299,0.02650578124828428,1 days 17:00:00,TIME_EXPIRED_STALE,OB,0.5555555555555556,False
SOLUSDT_1759222800,2025-09-30 09:00:00,2025-10-01 08:00:00,BUY,205.89025803035335,214.58330530666504,34.043665615634744,2,201.48323861749898,214.68,321.0285558107792,2.2900320228343687,0 days 23:00:00,TAKE_PROFIT,OB,0.7777777777777778,False
SOLUSDT_1759226400,2025-09-30 10:00:00,2025-10-01 08:00:00,BUY,206.54037102818523,214.58330530666504,29.909753996897336,2,201.53836443053476,214.68,261.4456483284978,2.1160875303268303,0 days 22:00:00,TAKE_PROFIT,OB,0.7777777777777778,False
SOLUSDT_1759230000,2025-09-30 11:00:00,2025-10-01 08:00:00,BUY,207.02039795474346,214.58330530666504,27.55475349781665,2,201.60026697121086,214.68,226.5439180960411,1.98569591521559,0 days 21:00:00,TAKE_PROFIT,OB,0.7777777777777778,False
SOLUSDT_1759647600,2025-10-05 07:00:00,2025-10-07 08:00:00,SELL,236.377552575888,229.96121208572924,33.56402388096414,2,241.2157840419985,224.0,285.28316455511776,1.7979014992007027,2 days 01:00:00,TIME_EXPIRED_PROFIT,OB,0.5,False
SOLUSDT_1760252400,2025-10-12 07:00:00,2025-10-12 15:00:00,SELL,182.22214014091418,190.54256613861713,20.04333275169777,2,190.45094715718298,172.32,-164.66104804754863,-2.254186269644381,0 days 08:00:00,STOP_LOSS,OB,0.5555555555555556,False
SOLUSDT_1760421600,2025-10-14 06:00:00,2025-10-15 19:00:00,BUY,195.34291064935746,194.59830980089978,14.871760556655902,2,184.44600649094897,211.29,7.524606393370661,0.12950715192082182,1 days 13:00:00,TIME_EXPIRED_STALE,OB,0.7777777777777778,False
SOLUSDT_1760425200,2025-10-14 07:00:00,2025-10-15 20:00:00,BUY,194.43261446011766,194.0182713865498,16.195762970100468,2,184.4205774558812,211.29,13.446254132995053,0.21350143154197318,1 days 13:00:00,TIME_EXPIRED_STALE,OB,0.7777777777777778,False
SOLUSDT_1760432400,2025-10-14 09:00:00,2025-10-15 22:00:00,BUY,194.82273638653,193.11912936901487,15.600129920008827,2,184.4333550512445,211.29,-7.111938566862396,-0.1170011543796666,1 days 13:00:00,TIME_EXPIRED_STALE,OB,0.7777777777777778,False
SOLUSDT_1761595200,2025-10-27 20:00:00,2025-10-28 20:00:00,BUY,198.7170325979237,193.80905328988,33.979180023525956,2,193.89727577861365,205.3,-141.0272089708609,-1.0442991575149239,1 days 00:00:00,STOP_LOSS,OB,0.7777777777777778,False
SOLUSDT_1761598800,2025-10-27 21:00:00,2025-10-28 20:00:00,BUY,198.7270694123577,193.796752799287,33.8091366144411,2,193.88497036585554,205.3,-142.41875675029476,-1.059854104761871,0 days 23:00:00,STOP_LOSS,OB,0.7777777777777778,False
SOLUSDT_1762441200,2025-11-06 15:00:00,2025-11-07 12:00:00,BUY,155.9018067846101,151.50002785857163,27.10205567296223,2,150.05695577121895,163.88,-105.71677865443576,-1.251009316477582,0 days 21:00:00,TREND_REVERSAL,OB,0.5,False
SOLUSDT_1762444800,2025-11-06 16:00:00,2025-11-07 12:00:00,BUY,155.4018357285665,151.50002785857163,29.190641516930953,2,149.97110178756046,163.88,-100.23048883008335,-1.1047654111601335,0 days 20:00:00,TREND_REVERSAL,OB,0.5,False
SOLUSDT_1763283600,2025-11-16 09:00:00,2025-11-16 15:00:00,SELL,143.12656900300624,137.34191022290835,40.79334549178245,2,146.94812387265654,137.28,237.26129427636877,2.031829751737559,0 days 06:00:00,TAKE_PROFIT,OB,0.5,False
SOLUSDT_1763287200,2025-11-16 10:00:00,2025-11-16 15:00:00,SELL,142.79695493136296,137.34191022290835,38.38378812135375,2,146.85290073889536,137.28,209.48997292197456,1.9110254253783556,0 days 05:00:00,TAKE_PROFIT,OB,0.5,False
SOLUSDT_1763366400,2025-11-17 08:00:00,2025-11-17 16:00:00,SELL,141.21657790774742,134.80353669783207,34.456584925013196,2,145.92128459471238,134.74,224.00148943229493,2.3017756744933475,0 days 08:00:00,TAKE_PROFIT,OB,0.8333333333333334,False
SOLUSDT_1763370000,2025-11-17 09:00:00,2025-11-17 16:00:00,SELL,141.8563326286226,134.80353669783207,39.99893735585859,2,145.91726426651863,134.74,284.5150358155918,2.507136879264053,0 days 07:00:00,TAKE_PROFIT,OB,0.8333333333333334,False
SOLUSDT_1763380800,2025-11-17 12:00:00,2025-11-17 16:00:00,SELL,141.66698512867487,134.80353669783207,40.251996475805335,2,145.70107674691744,134.74,275.26516000395344,2.413599312437224,0 days 04:00:00,TAKE_PROFIT,OB,0.8333333333333334,False
SOLUSDT_1763481600,2025-11-18 16:00:00,2025-11-20 05:00:00,SELL,140.91392393884868,144.12634814136842,28.8258529163264,2,146.9315229317391,128.7,-66.65059811039313,-0.8204232898999282,1 days 13:00:00,TIME_EXPIRED_STALE,OB,0.5555555555555556,False
SOLUSDT_1764000000,2025-11-24 16:00:00,2025-11-24 18:00:00,SELL,133.57898681204213,137.26674912752085,47.847954384388096,2,137.20394548420023,128.34,-180.37499775363426,-1.4110578612293545,0 days 02:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1764334800,2025-11-28 13:00:00,2025-11-28 16:00:00,SELL,142.37744512168712,138.90190665439266,60.08924454065402,2,145.232079367334,138.84,205.52476086534602,1.2011471534540268,0 days 03:00:00,TAKE_PROFIT,OB,0.5,False
SOLUSDT_1764338400,2025-11-28 14:00:00,2025-11-28 16:00:00,SELL,142.45728875585232,138.90190665439266,60.79268071419289,2,145.27871655538158,138.84,211.05306323300206,1.2185004535663864,0 days 02:00:00,TAKE_PROFIT,OB,0.5,False
SOLUSDT_1764504000,2025-11-30 12:00:00,2025-11-30 13:00:00,SELL,137.44131678827642,139.43120157470275,92.93131724679242,2,139.37120439634376,135.18,-195.23315776975164,-0.7642653720665471,0 days 01:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1764644400,2025-12-02 03:00:00,2025-12-02 13:00:00,SELL,127.15307891573171,130.25163066344382,57.26358776420483,2,130.19390660060733,123.05,-170.2416655480362,-1.1690428458442979,0 days 10:00:00,STOP_LOSS,OB,0.8333333333333334,False
SOLUSDT_1764871200,2025-12-04 18:00:00,2025-12-05 10:00:00,BUY,140.74286515727914,136.07689019415685,37.04202723965224,2,136.1375660203196,146.87,-161.28127079879587,-1.5467951669980387,0 days 16:00:00,STOP_LOSS,OB,0.5,False
SOLUSDT_1764874800,2025-12-04 19:00:00,2025-12-05 13:00:00,BUY,139.66284793175922,135.92172576218132,46.49614498395686,2,135.9820255902968,146.87,-156.97694645158998,-1.2086708290239585,0 days 18:00:00,STOP_LOSS,OB,0.9851851851851852,False
